CODE,DISPLAY
O31.31X0,"Continuing pregnancy after elective fetal reduction of one        fetus or more, first trimester, not applicable or unspecified"
O31.31X1,"Continuing pregnancy after elective fetal reduction of one        fetus or more, first trimester, fetus 1"
O31.31X2,"Continuing pregnancy after elective fetal reduction of one        fetus or more, first trimester, fetus 2"
O31.31X3,"Continuing pregnancy after elective fetal reduction of one        fetus or more, first trimester, fetus 3"
O31.31X4,"Continuing pregnancy after elective fetal reduction of one        fetus or more, first trimester, fetus 4"
O31.31X5,"Continuing pregnancy after elective fetal reduction of one        fetus or more, first trimester, fetus 5"
O31.31X9,"Continuing pregnancy after elective fetal reduction of one        fetus or more, first trimester, other fetus"
O31.32X0,"Continuing pregnancy after elective fetal reduction of one        fetus or more, second trimester, not applicable or unspecified"
O31.32X1,"Continuing pregnancy after elective fetal reduction of one        fetus or more, second trimester, fetus 1"
O31.32X2,"Continuing pregnancy after elective fetal reduction of one        fetus or more, second trimester, fetus 2"
O31.32X3,"Continuing pregnancy after elective fetal reduction of one        fetus or more, second trimester, fetus 3"
O31.32X4,"Continuing pregnancy after elective fetal reduction of one        fetus or more, second trimester, fetus 4"
O31.32X5,"Continuing pregnancy after elective fetal reduction of one        fetus or more, second trimester, fetus 5"
O31.32X9,"Continuing pregnancy after elective fetal reduction of one        fetus or more, second trimester, other fetus"
O31.33X0,"Continuing pregnancy after elective fetal reduction of one        fetus or more, third trimester, not applicable or unspecified"
O31.33X1,"Continuing pregnancy after elective fetal reduction of one        fetus or more, third trimester, fetus 1"
O31.33X2,"Continuing pregnancy after elective fetal reduction of one        fetus or more, third trimester, fetus 2"
O31.33X3,"Continuing pregnancy after elective fetal reduction of one        fetus or more, third trimester, fetus 3"
O31.33X4,"Continuing pregnancy after elective fetal reduction of one        fetus or more, third trimester, fetus 4"
O31.33X5,"Continuing pregnancy after elective fetal reduction of one        fetus or more, third trimester, fetus 5"
O31.33X9,"Continuing pregnancy after elective fetal reduction of one        fetus or more, third trimester, other fetus"
O31.8X10,"Other complications specific to multiple gestation, first         trimester, not applicable or unspecified"
O31.8X11,"Other complications specific to multiple gestation, first         trimester, fetus 1"
O31.8X12,"Other complications specific to multiple gestation, first         trimester, fetus 2"
O31.8X13,"Other complications specific to multiple gestation, first         trimester, fetus 3"
O31.8X14,"Other complications specific to multiple gestation, first         trimester, fetus 4"
O31.8X15,"Other complications specific to multiple gestation, first         trimester, fetus 5"
O31.8X19,"Other complications specific to multiple gestation, first         trimester, other fetus"
O31.8X20,"Other complications specific to multiple gestation, second        trimester, not applicable or unspecified"
O31.8X21,"Other complications specific to multiple gestation, second        trimester, fetus 1"
O31.8X22,"Other complications specific to multiple gestation, second        trimester, fetus 2"
O31.8X23,"Other complications specific to multiple gestation, second        trimester, fetus 3"
O31.8X24,"Other complications specific to multiple gestation, second        trimester, fetus 4"
O31.8X25,"Other complications specific to multiple gestation, second        trimester, fetus 5"
O31.8X29,"Other complications specific to multiple gestation, second        trimester, other fetus"
O31.8X30,"Other complications specific to multiple gestation, third         trimester, not applicable or unspecified"
O31.8X31,"Other complications specific to multiple gestation, third         trimester, fetus 1"
O31.8X32,"Other complications specific to multiple gestation, third         trimester, fetus 2"
O31.8X33,"Other complications specific to multiple gestation, third         trimester, fetus 3"
O31.8X34,"Other complications specific to multiple gestation, third         trimester, fetus 4"
O31.8X35,"Other complications specific to multiple gestation, third         trimester, fetus 5"
O31.8X39,"Other complications specific to multiple gestation, third         trimester, other fetus"
O31.8X90,"Other complications specific to multiple gestation, unspecified   trimester, not applicable or unspecified"
O31.8X91,"Other complications specific to multiple gestation, unspecified   trimester, fetus 1"
O31.8X92,"Other complications specific to multiple gestation, unspecified   trimester, fetus 2"
O31.8X93,"Other complications specific to multiple gestation, unspecified   trimester, fetus 3"
O31.8X94,"Other complications specific to multiple gestation, unspecified   trimester, fetus 4"
O31.8X95,"Other complications specific to multiple gestation, unspecified   trimester, fetus 5"
O31.8X99,"Other complications specific to multiple gestation, unspecified   trimester, other fetus"
O32.0XX0,"Maternal care for unstable lie, not applicable or unspecified"
O32.0XX1,"Maternal care for unstable lie, fetus 1"
O32.0XX2,"Maternal care for unstable lie, fetus 2"
O32.0XX3,"Maternal care for unstable lie, fetus 3"
O32.0XX4,"Maternal care for unstable lie, fetus 4"
O32.0XX5,"Maternal care for unstable lie, fetus 5"
O32.0XX9,"Maternal care for unstable lie, other fetus"
O32.1XX0,"Maternal care for breech presentation, not applicable or unspecified"
O32.1XX1,"Maternal care for breech presentation, fetus 1"
O32.1XX2,"Maternal care for breech presentation, fetus 2"
O32.1XX3,"Maternal care for breech presentation, fetus 3"
O32.1XX4,"Maternal care for breech presentation, fetus 4"
O32.1XX5,"Maternal care for breech presentation, fetus 5"
O32.1XX9,"Maternal care for breech presentation, other fetus"
O32.2XX0,"Maternal care for transverse and oblique lie, not applicable or unspecified"
O32.2XX1,"Maternal care for transverse and oblique lie, fetus 1"
O32.2XX2,"Maternal care for transverse and oblique lie, fetus 2"
O32.2XX3,"Maternal care for transverse and oblique lie, fetus 3"
O32.2XX4,"Maternal care for transverse and oblique lie, fetus 4"
O32.2XX5,"Maternal care for transverse and oblique lie, fetus 5"
O32.2XX9,"Maternal care for transverse and oblique lie, other fetus"
O32.3XX0,"Maternal care for face, brow and chin presentation, not applicable or unspecified"
O32.3XX1,"Maternal care for face, brow and chin presentation, fetus 1"
O32.3XX2,"Maternal care for face, brow and chin presentation, fetus 2"
O32.3XX3,"Maternal care for face, brow and chin presentation, fetus 3"
O32.3XX4,"Maternal care for face, brow and chin presentation, fetus 4"
O32.3XX5,"Maternal care for face, brow and chin presentation, fetus 5"
O32.3XX9,"Maternal care for face, brow and chin presentation, other fetus"
O32.4XX0,"Maternal care for high head at term, not applicable or unspecified"
O32.4XX1,"Maternal care for high head at term, fetus 1"
O32.4XX2,"Maternal care for high head at term, fetus 2"
O32.4XX3,"Maternal care for high head at term, fetus 3"
O32.4XX4,"Maternal care for high head at term, fetus 4"
O32.4XX5,"Maternal care for high head at term, fetus 5"
O32.4XX9,"Maternal care for high head at term, other fetus"
O32.6XX0,"Maternal care for compound presentation, not applicable or unspecified"
O32.6XX1,"Maternal care for compound presentation, fetus 1"
O32.6XX2,"Maternal care for compound presentation, fetus 2"
O32.6XX3,"Maternal care for compound presentation, fetus 3"
O32.6XX4,"Maternal care for compound presentation, fetus 4"
O32.6XX5,"Maternal care for compound presentation, fetus 5"
O32.6XX9,"Maternal care for compound presentation, other fetus"
O32.8XX0,"Maternal care for other malpresentation of fetus, not applicable or unspecified"
O32.8XX1,"Maternal care for other malpresentation of fetus, fetus 1"
O32.8XX2,"Maternal care for other malpresentation of fetus, fetus 2"
O32.8XX3,"Maternal care for other malpresentation of fetus, fetus 3"
O32.8XX4,"Maternal care for other malpresentation of fetus, fetus 4"
O32.8XX5,"Maternal care for other malpresentation of fetus, fetus 5"
O32.8XX9,"Maternal care for other malpresentation of fetus, other fetus"
O32.9XX0,"Maternal care for malpresentation of fetus, unspecified, not applicable or unspecified"
O32.9XX1,"Maternal care for malpresentation of fetus, unspecified, fetus 1"
O32.9XX2,"Maternal care for malpresentation of fetus, unspecified, fetus 2"
O32.9XX3,"Maternal care for malpresentation of fetus, unspecified, fetus 3"
O32.9XX4,"Maternal care for malpresentation of fetus, unspecified, fetus 4"
O32.9XX5,"Maternal care for malpresentation of fetus, unspecified, fetus 5"
O32.9XX9,"Maternal care for malpresentation of fetus, unspecified, other    fetus"
O33.0,Maternal care for disproportion due to deformity of maternal pelvic bones
O33.1,Maternal care for disproportion due to generally contracted pelvis
O33.2,Maternal care for disproportion due to inlet contraction of pelvis
O33.3XX0,"Maternal care for disproportion due to outlet contraction of      pelvis, not applicable or unspecified"
O33.3XX1,"Maternal care for disproportion due to outlet contraction of      pelvis, fetus 1"
O33.3XX2,"Maternal care for disproportion due to outlet contraction of      pelvis, fetus 2"
O33.3XX3,"Maternal care for disproportion due to outlet contraction of      pelvis, fetus 3"
O33.3XX4,"Maternal care for disproportion due to outlet contraction of      pelvis, fetus 4"
O33.3XX5,"Maternal care for disproportion due to outlet contraction of      pelvis, fetus 5"
O33.3XX9,"Maternal care for disproportion due to outlet contraction of      pelvis, other fetus"
O33.4XX0,"Maternal care for disproportion of mixed maternal and fetal origin, not applicable or unspecified"
O33.4XX1,"Maternal care for disproportion of mixed maternal and fetal origin, fetus 1"
O33.4XX2,"Maternal care for disproportion of mixed maternal and fetal origin, fetus 2"
O33.4XX3,"Maternal care for disproportion of mixed maternal and fetal origin, fetus 3"
O33.4XX4,"Maternal care for disproportion of mixed maternal and fetal origin, fetus 4"
O33.4XX5,"Maternal care for disproportion of mixed maternal and fetal origin, fetus 5"
O33.4XX9,"Maternal care for disproportion of mixed maternal and fetal origin, other fetus"
O33.5XX0,"Maternal care for disproportion due to unusually large fetus,     not applicable or unspecified"
O33.5XX1,"Maternal care for disproportion due to unusually large fetus,     fetus 1"
